date,umbrella
2025-10-13,45
2025-10-14,52
2025-10-15,38
2025-10-16,61
2025-10-17,44
2025-10-18,67
2025-10-19,73
2025-10-20,58
2025-10-21,49
2025-10-22,55
2025-10-23,42
2025-10-24,71
2025-10-25,68
2025-10-26,53
2025-10-27,47
2025-10-28,64
2025-10-29,56
2025-10-30,59
2025-10-31,72
2025-11-01,48
2025-11-02,54
2025-11-03,63
2025-11-04,51
2025-11-05,69
2025-11-06,57
2025-11-07,46
2025-11-08,65
2025-11-09,60
2025-11-10,52
2025-11-11,70
2025-11-12,55
2025-11-13,62
2025-11-14,49
2025-11-15,68
2025-11-16,58
2025-11-17,45
2025-11-18,66
2025-11-19,59
2025-11-20,53
2025-11-21,71
2025-11-22,47
2025-11-23,64
2025-11-24,56
2025-11-25,50
2025-11-26,69
2025-11-27,61
2025-11-28,54
2025-11-29,48
2025-11-30,67
2025-12-01,72
2025-12-02,58
2025-12-03,51
2025-12-04,63
2025-12-05,55
2025-12-06,70
2025-12-07,46
2025-12-08,65
2025-12-09,60
2025-12-10,52
2025-12-11,68
2025-12-12,74
